IBGE,IBGE7,UF,Municipio
120038,1200385,AC,Placido de Castro
120001,1200013,AC,Acrelandia
120005,1200054,AC,Assis Brasil
120010,1200104,AC,Brasileia
120013,1200138,AC,Bujari
120017,1200179,AC,Capixaba
120020,1200203,AC,Cruzeiro do Sul
120025,1200252,AC,Epitaciolandia
120030,1200302,AC,Feijo
120080,1200807,AC,Porto Acre
120032,1200328,AC,Jordao
120034,1200344,AC,Manoel Urbano
120035,1200351,AC,Marechal Thaumaturgo
120070,1200708,AC,Xapuri
120039,1200393,AC,Porto Walter
120040,1200401,AC,Rio Branco
120042,1200427,AC,Rodrigues Alves
120043,1200435,AC,Santa Rosa do Purus
120045,1200450,AC,Senador Guiomard
120033,1200336,AC,Mancio Lima
120050,1200500,AC,Sena Madureira
120060,1200609,AC,Tarauaca
270660,2706604,AL,Paulo Jacinto
270920,2709202,AL,Traipu
270930,2709301,AL,Uniao Dos Palmares
270642,2706422,AL,Pariconha
270640,2706406,AL,Pao de Acucar
270630,2706307,AL,Palmeira Dos indios
270620,2706208,AL,Palestina
270610,2706109,AL,Ouro Branco
270600,2706000,AL,Olivenca
270590,2705903,AL,Olho Dagua Grande
270580,2705804,AL,Olho Dagua do Casado
270570,2705705,AL,Olho Dagua Das Flores
270560,2705606,AL,Novo Lino
270550,2705507,AL,Murici
270540,2705408,AL,Monteiropolis
270530,2705309,AL,Minador do Negrao
270520,2705200,AL,Messias
270510,2705101,AL,Matriz de Camaragibe
270500,2705002,AL,Mata Grande
270490,2704906,AL,Mar Vermelho
270480,2704807,AL,Maribondo
270470,2704708,AL,Marechal Deodoro
270915,2709152,AL,Teotonio Vilela
270910,2709103,AL,Taquarana
270900,2709004,AL,Tanque Darca
270895,2708956,AL,Senador Rui Palmeira
270670,2706703,AL,Penedo
270680,2706802,AL,Piacabucu
270690,2706901,AL,Pilar
270700,2707008,AL,Pindoba
270710,2707107,AL,Piranhas
270720,2707206,AL,Poco Das Trincheiras
270730,2707305,AL,Porto Calvo
270740,2707404,AL,Porto de Pedras
270750,2707503,AL,Porto Real do Colegio
270760,2707602,AL,Quebrangulo
270650,2706505,AL,Passo de Camaragibe
270770,2707701,AL,Rio Largo
270644,2706448,AL,Paripueira
270800,2708006,AL,Santana do Ipanema
270810,2708105,AL,Santana do Mundau
270820,2708204,AL,Sao Bras
270830,2708303,AL,Sao Jose da Laje
270840,2708402,AL,Sao Jose da Tapera
270850,2708501,AL,Sao Luis do Quitunde
270860,2708600,AL,Sao Miguel Dos Campos
270870,2708709,AL,Sao Miguel Dos Milagres
270890,2708907,AL,Satuba
270780,2707800,AL,Roteiro
270790,2707909,AL,Santa Luzia do Norte
270880,2708808,AL,Sao Sebastiao
270460,2704609,AL,Maravilha
270200,2702009,AL,Coite do Noia
270190,2701902,AL,Cha Preta
270180,2701803,AL,Carneiros
270170,2701704,AL,Capela
270160,2701605,AL,Canapi
270150,2701506,AL,Campo Grande
270140,2701407,AL,Campo Alegre
270135,2701357,AL,Campestre
270130,2701308,AL,Cajueiro
270120,2701209,AL,Cacimbinhas
270210,2702108,AL,Colonia Leopoldina
270110,2701100,AL,Branquinha
270090,2700904,AL,Belo Monte
270080,2700805,AL,Belem
270070,2700706,AL,Batalha
270060,2700607,AL,Barra de Sao Miguel
270050,2700508,AL,Barra de Santo Antonio
270040,2700409,AL,Atalaia
270030,2700300,AL,Arapiraca
270020,2700201,AL,Anadia
270010,2700102,AL,agua Branca
270940,2709400,AL,Vicosa
270100,2701001,AL,Boca da Mata
270230,2702306,AL,Coruripe
270220,2702207,AL,Coqueiro Seco
270240,2702405,AL,Delmiro Gouveia
270450,2704500,AL,Maragogi
270440,2704401,AL,Major Isidoro
270430,2704302,AL,Maceio
270420,2704203,AL,Limoeiro de Anadia
270410,2704104,AL,Lagoa da Canoa
270400,2704005,AL,Junqueiro
270390,2703908,AL,Jundia
270380,2703809,AL,Joaquim Gomes
270375,2703759,AL,Jequia da Praia
270370,2703700,AL,Jaramataia
270235,2702355,AL,Craibas
270350,2703502,AL,Jacuipe
270360,2703601,AL,Japaratinga
270330,2703304,AL,Inhapi
270320,2703205,AL,Igreja Nova
270310,2703106,AL,Igaci
270300,2703007,AL,Ibateguara
270290,2702900,AL,Girau do Ponciano
270280,2702801,AL,Flexeiras
270270,2702702,AL,Feliz Deserto
270260,2702603,AL,Feira Grande
270255,2702553,AL,Estrela de Alagoas
270250,2702504,AL,Dois Riachos
270340,2703403,AL,Jacare Dos Homens
130420,1304203,AM,Tefe
130430,1304302,AM,Urucara
130426,1304260,AM,Uarini
130423,1304237,AM,Tonantins
130410,1304104,AM,Tapaua
130440,1304401,AM,Urucurituba
130400,1304005,AM,Silves
130165,1301654,AM,Guajara
130160,1301605,AM,Fonte Boa
130150,1301506,AM,Envira
130140,1301407,AM,Eirunepe
130130,1301308,AM,Codajas
130120,1301209,AM,Coari
130115,1301159,AM,Careiro da Varzea
130110,1301100,AM,Careiro
130100,1301001,AM,Carauari
130090,1300904,AM,Canutama
130083,1300839,AM,Caapiranga
130080,1300805,AM,Borba
130070,1300706,AM,Boca do Acre
130068,1300680,AM,Boa Vista do Ramos
130063,1300631,AM,Beruri
130060,1300607,AM,Benjamin Constant
130050,1300508,AM,Barreirinha
130030,1300300,AM,Autazes
130020,1300201,AM,Atalaia do Norte
130014,1300144,AM,Apui
130010,1300102,AM,Anori
130008,1300086,AM,Anama
130006,1300060,AM,Amatura
130002,1300029,AM,Alvaraes
130406,1304062,AM,Tabatinga
130170,1301704,AM,Humaita
130180,1301803,AM,Ipixuna
130040,1300409,AM,Barcelos
130190,1301902,AM,Itacoatiara
130395,1303957,AM,Sao Sebastiao do Uatuma
130185,1301852,AM,Iranduba
130390,1303908,AM,Sao Paulo de Olivenca
130380,1303809,AM,Sao Gabriel da Cachoeira
130370,1303700,AM,Santo Antonio do Ica
130360,1303601,AM,Santa Isabel do Rio Negro
130353,1303536,AM,Presidente Figueiredo
130350,1303502,AM,Pauini
130340,1303403,AM,Parintins
130330,1303304,AM,Novo Aripuana
130320,1303205,AM,Novo Airao
130310,1303106,AM,Nova Olinda do Norte
130356,1303569,AM,Rio Preto da Eva
130290,1302900,AM,Maues
130280,1302801,AM,Maraa
130270,1302702,AM,Manicore
130260,1302603,AM,Manaus
130255,1302553,AM,Manaquiri
130250,1302504,AM,Manacapuru
130195,1301951,AM,Itamarati
130240,1302405,AM,Labrea
130200,1302009,AM,Itapiranga
130230,1302306,AM,Jutai
130220,1302207,AM,Jurua
130210,1302108,AM,Japura
130300,1303007,AM,Nhamunda
160027,1600279,AP,Laranjal do Jari
160025,1600253,AP,Itaubal
160023,1600238,AP,Ferreira Gomes
160020,1600204,AP,Calcoene
160015,1600154,AP,Pedra Branca do Amapari
